addr1;addr3;distance
Мордовия с.Старое Шайгово, ул.Ленина, 7;Мордовия, г. Саранск, ул. Советская, 109;62.0
Мордовия г.Инсар, ул.Московская, 91Б;Мордовия, г. Саранск, ул. Советская, 109;74.0
Мордовия пгт.Кадошкино, ул.Крупской, 1;Мордовия, г. Саранск, ул. Советская, 109;74.0
Мордовия с.Лямбирь, ул.Ленина, 40;Мордовия, г. Саранск, ул. Советская, 109;15.0
Мордовия с.Ельники, площадь 1 Мая, 35;Мордовия, г. Краснослободск, ул. Интернациональная, 60а;32.0
Мордовия с.Атюрьево, ул.Кирова, 4а;Мордовия, г. Краснослободск, ул. Интернациональная, 60а;36.0
Мордовия г.Темников, ул.Гражданская, 2;Мордовия, г. Краснослободск, ул. Интернациональная, 60а;62.0
Мордовия р.п.Торбеево, ул.Октябрьская, 18;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;40.0
Мордовия пгт.Комсомольский, Микрорайон-2, 30;Мордовия, пгт. Чамзинка, ул. Победы, 2;5.0
Мордовия с.Дубенки, ул.Центральная, 19;Мордовия, пгт. Чамзинка, ул. Победы, 2;42.0
Мордовия с.Большие Березники, ул.Толстого, 34;Мордовия, пгт. Чамзинка, ул. Победы, 2;33.0
Мордовия г.Ардатов, переулок Льва Толстого, 27а;Мордовия, пгт. Чамзинка, ул. Победы, 2;70.0
Мордовия пгт.Тургенево, ул.Молодежная, 2;Мордовия, пгт. Чамзинка, ул. Победы, 2;75.0
Мордовия р.п. Атяшево, ул.Горюнова, д.3;Мордовия, пгт. Чамзинка, ул. Победы, 2;32.0
Мордовия р.п.Явас, ул.Чернореченская, 16;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;45.0
Мордовия с.Кочкурово, ул.Советская, 10а;Мордовия, г. Саранск, ул. Советская, 109;28.0
Мордовия с.Теньгушево, ул.Ленина, 68;Мордовия, пгт. Зубова Поляна, ул. Пролетарская, 6;95.0
Мордовия г.Саранск, ул.Коммунистическая, 73;Мордовия, г. Саранск, ул. Советская, 109;2.0
Мордовия г.Саранск, р.п.Луховка, ул.Октябрьская, 17а;Мордовия, г. Саранск, ул. Советская, 109;9.0
"Мордовия г.Саранск, ул.Ботевградская, д. 63 ""А""";Мордовия, г. Саранск, ул. Советская, 109;1.0
Мордовия г.Саранск, ул.Веселовского, 45;Мордовия, г. Саранск, ул. Советская, 109;8.0
Мордовия г.Саранск, проспект Ленина, 23-23а;Мордовия, г. Саранск, ул. Советская, 109;3.0
Мордовия г.Саранск, ул.Пролетарская, 83;Мордовия, г. Саранск, ул. Советская, 109;2.0
Мордовия г.Саранск, ул.Сущинского, 24а;Мордовия, г. Саранск, ул. Советская, 109;7.0
Мордовия г.Саранск, ул.Воинова, 17;Мордовия, г. Саранск, ул. Советская, 109;6.0
Мордовия г.Саранск, ул.Коваленко, 59;Мордовия, г. Саранск, ул. Советская, 109;5.0
Мордовия г.Саранск, бульвар Эрьзи, 12;Мордовия, г. Саранск, ул. Советская, 109;5.0
Мордовия г.Саранск, ул.Ульянова, 97;Мордовия, г. Саранск, ул. Советская, 109;4.0
Мордовия п.Ромоданово, ул.Ленина, 165;Мордовия, г. Саранск, ул. Советская, 109;33.0
Мордовия г.Саранск, ул.Советская, 31;Мордовия, г. Саранск, ул. Советская, 109;3.0
